phylum,uSGB,kSGB,all,uSGB_proportion,uSGB_proportion_text
Actinobacteriota,28,105,133,21,21%
Bacteroidota,46,143,189,24,24%
Campylobacterota,7,6,13,53,53%
Chlamydiota,0,1,1,0,0%
Cyanobacteria,0,2,2,0,0%
Desulfobacterota,0,4,4,0,0%
Elusimicrobiota,0,2,2,0,0%
Firmicutes,30,122,152,19,19%
Firmicutes_A,56,194,250,22,22%
Firmicutes_B,1,1,2,50,50%
Firmicutes_C,5,26,31,16,16%
Fusobacteriota,3,21,24,12,12%
Halobacteriota,0,3,3,0,0%
Methanobacteriota,0,3,3,0,0%
Patescibacteria,22,4,26,84,84%
Proteobacteria,8,44,52,15,15%
Spirochaetota,9,7,16,56,56%
Synergistota,2,3,5,40,40%
Thermoproteota,0,2,2,0,0%
Verrucomicrobiota,0,3,3,0,0%
